# PARTICIPANT INFO
id,age,gender,handedness,startTime,endTime,finalCoins_exp1
999,19,male,right,8521,198515.00000000003,16

# EXPERIMENT 1 TRIALS
trial_index,stimulus,imagePath,start_time,choice,rt,outcome,coins_before,coins_after
1,zaff1,./stimuli/exp1/hh4.png,15868,approach,1226,1,4,5
2,nonzaff4,./stimuli/exp1/ss4.png,19040,avoid,1295,0,5,5
3,zaff2,./stimuli/exp1/sh4.png,21943,approach,1299,1,5,6
4,zaff3,./stimuli/exp1/hs1.png,24747,approach,1986,1,6,7
5,nonzaff4,./stimuli/exp1/ss2.png,28184,avoid,3036.0000000000036,0,7,7
6,zaff1,./stimuli/exp1/hh2.png,32878,approach,2436,1,7,8
7,zaff3,./stimuli/exp1/hs3.png,36778,approach,6184,1,8,9
8,zaff2,./stimuli/exp1/sh3.png,44268,approach,1794,1,9,10
9,zaff2,./stimuli/exp1/sh1.png,47666.00000000001,approach,1595.9999999999927,1,10,11
10,zaff3,./stimuli/exp1/hs2.png,50354,approach,1714,1,11,12
11,nonzaff4,./stimuli/exp1/ss1.png,53429,avoid,2438.0000000000073,0,12,12
12,zaff1,./stimuli/exp1/hh1.png,57280,approach,1271,1,12,13
13,zaff3,./stimuli/exp1/hs4.png,59895,approach,5121.999999999993,1,13,14
14,zaff2,./stimuli/exp1/sh2.png,66320.00000000001,approach,3730.9999999999854,1,14,15
15,zaff1,./stimuli/exp1/hh3.png,71496,approach,1163,1,15,16
16,nonzaff4,./stimuli/exp1/ss3.png,73714,avoid,3578,0,16,16

# EXPERIMENT 2 RANKING
rank,itemId,text
1,item-3,在目标正体验一种强烈情绪（如热恋）时，瞬间将其完全清除，使其内心归于绝对的平静。
2,item-5,在一个完全中性、无任何刺激的情境下，让目标体验到一种强烈的、无缘由的复杂情绪（如乡愁）。
3,item-6,让目标针对同一件事，在同一瞬间体验到两种同样强烈或都较弱的同效价维度情绪（例如，对毕业既感到悲伤又感到愤怒）
4,item-2,在一个强烈的情境下，将个体应有的情绪转为相近而不同的其他情绪，例如由惊恐转为厌恶
5,item-7,在1小时内定格对象的情绪，无论之后情境怎么变，对象的情绪都不会变
6,item-9,强行将目标一种正在体验的情绪转入潜意识，使其意识层面感觉不到，但情绪本身仍对行为产生潜在影响。
7,item-10,让目标的情绪产生的时间间断性延后，比如原本考试满分立刻感到狂喜，现在得知此消息后十分钟后才狂喜（情境完全一致）
8,item-1,让目标情绪产生的速度变慢，比如原本考试满分立刻感到狂喜，现在得知此消息后在十分钟内慢慢由微弱的开心到大笑再到狂喜（情境完全一样）
9,item-4,将目标已有的某种情绪，在性质不变的情况下，等比例增强其强度（例如，将微小的烦躁增强为愤怒）。
10,item-8,在目标现有情绪的基调上，增添一抹细微的“色彩”（例如，在“开心”的情绪上，增添一丝“得意”的感觉）。

# EVENT LOG
event,timestamp,page,details
335,532,160177
335,532,160187
335,532,160198
335,532,160209
335,532,160220
335,532,160231
335,532,160242
335,532,160253
335,532,160264
335,532,160275
335,532,160286
335,532,160297
335,532,160308
335,532,160318
335,532,160329
335,532,160340
335,532,160351
335,532,160362
335,532,160372
335,532,160383
335,532,160394
335,532,160405
335,532,160416
335,532,160427
335,532,160438.00000000003
335,532,160449
335,532,160459
335,532,160470
335,532,160481
335,532,160491
335,532,160502
335,532,160513
335,532,160524
335,532,160535
335,532,160546
335,532,160557.00000000003
335,532,160568
335,532,160579
335,532,160590
335,532,160601
335,532,160612
335,532,160623
335,532,160634
335,532,160644
335,532,160655
335,532,160667
335,532,160678
335,532,160689
335,532,160700.00000000003
335,532,160711
335,532,160722
335,532,160732
335,532,160743
335,532,160754
335,532,160765.00000000003
335,532,160776
335,532,160787
335,532,160799
335,532,160810
335,532,160820
335,532,160831.00000000003
335,532,160842
335,532,160853
335,532,160864
335,532,160876
335,532,160887
335,532,160898
335,532,160909
335,532,160920.00000000003
335,532,160930
335,532,160941
335,532,160952
335,532,160963
335,532,160974
335,532,160985
335,532,160996
335,532,161007
335,532,161018
335,532,161028
335,532,161039.00000000003
335,532,161050
335,532,161062
335,532,161072
335,532,161083
335,532,161094
335,532,161104
335,532,161115
335,532,161126
335,532,161137
335,532,161148
335,532,161159
335,532,161170.00000000003
335,532,161181
335,532,161192
335,532,161203
335,532,161214
335,532,161225
335,532,161236
335,532,161248
335,532,161258
335,532,161268
335,532,161279
335,532,161290
335,532,161301.00000000003
335,532,161312
335,532,161324
335,532,161334
335,532,161344
335,532,161355
335,532,161366
335,532,161376
335,532,161388
335,532,161399
335,532,161410
335,532,161421
335,532,161432.00000000003
335,532,161443
335,532,161454
335,532,161465
335,532,161476
335,532,161487
335,532,161498
335,532,161509
335,532,161520
335,532,161530
335,532,161541
335,532,161552
335,532,161563.00000000003
335,532,161574
335,532,161584
335,532,161595
335,532,161606
335,532,161617
335,532,161629
335,532,161640.00000000003
335,532,161651
335,532,161662
335,532,161672
335,532,161683
335,532,161694.00000000003
335,532,161705
335,532,161715
335,532,161726
335,532,161736
335,532,161747
335,532,161758
335,532,161769
335,532,161780
335,532,161791
335,532,161802
335,532,161813.00000000003
335,532,161824
335,532,161835
335,532,161846
335,532,161857
335,532,161868
335,532,161878
335,532,161889
335,532,161900
335,532,161911
335,532,161922
335,532,161933
335,532,161944.00000000003
335,532,161956.00000000003
335,532,161966
335,532,161977
335,532,161988
335,532,161999
335,532,162009
335,532,162020
335,532,162031
335,532,162042
335,532,162054
335,532,162065
335,532,162076
335,532,162086
335,532,162097
335,532,162108
335,532,162120
335,532,162131
335,532,162142
335,532,162153
335,532,162164.00000000003
335,532,162175
335,532,162185
335,532,162196
335,532,162207
335,532,162218
335,532,162229
335,532,162240
335,532,162251
335,532,162262
335,532,162273
335,532,162284
335,532,162295.00000000003
335,532,162306
335,532,162317
335,532,162328
335,532,162339
335,532,162350
335,532,162361
335,532,162372
335,532,162383
335,532,162394
335,532,162405
335,532,162416
335,532,162427
335,532,162438.00000000003
335,532,162449
335,532,162460
335,532,162471
335,532,162482
335,532,162493
335,532,162504
335,532,162515.00000000003
335,532,162526
335,532,162537
335,532,162548
335,532,162559
335,532,162570
335,532,162581.00000000003
335,532,162592
335,532,162603
335,532,162614
335,532,162625
335,532,162636
335,532,162647
335,532,162657
335,532,162668
335,532,162679
335,532,162690
335,532,162701
335,532,162712.00000000003
335,532,162723
335,532,162734
335,532,162746
335,532,162757
335,532,162768
335,532,162779
335,532,162790
335,532,162801.00000000003
335,532,162812
335,532,162823
335,532,162834
335,532,162845
335,532,162855
335,532,162866
335,532,162876
335,532,162888
335,532,162899
335,532,162910
335,532,162921
335,532,162932.00000000003
335,532,162943
335,532,162954
335,532,162965
335,532,162976
335,532,162987
335,532,162998
335,532,163009
335,532,163020
335,532,163030
335,532,163041
335,532,163052
335,532,163063.00000000003
335,532,163074
335,532,163085
335,532,163096
335,532,163107
335,532,163117
335,532,163128
335,532,163139
335,532,163150
335,532,163161
335,532,163172
335,532,163183
335,532,163194.00000000003
335,532,163205
335,532,163216
335,532,163226
335,532,163238
335,532,163248
335,532,163259
335,532,163270
335,532,163281
335,532,163292
335,532,163303
335,532,163314
335,532,163325.00000000003
335,532,163336
335,532,163346
335,532,163357
335,532,163368
335,532,163379
335,532,163390.00000000003
335,532,163401
335,532,163412
335,532,163423
335,532,163434
335,532,163445
335,532,163456.00000000003
335,532,163467
335,532,163478
335,532,163489
335,532,163500
335,532,163511
335,532,163522
335,532,163533.00000000003
335,532,163544
335,532,163555
335,532,163566
335,532,163576
335,532,163588
335,532,163599
335,532,163610
335,532,163621
335,532,163632
335,532,163643
335,532,163654
335,532,163665
335,532,163676.00000000003
335,532,163687
335,532,163697
335,532,163707
335,532,163718
335,532,163729
335,532,163740
335,532,163750
335,532,163761
335,532,163772
335,532,163783.00000000003
335,532,163794
335,532,163805
335,532,163816
335,532,163827
335,532,163838
335,532,163849
335,532,163860
335,532,163871
335,532,163882
335,532,163893
335,532,163904
335,532,163915
335,532,163926.00000000003
335,532,163937
335,532,163948
335,532,163958
335,532,163969
335,532,163981
335,532,163992
335,532,164003
335,532,164014
335,532,164025
335,532,164035
335,532,164046
335,532,164057.00000000003
335,532,164068
335,532,164079
335,532,164090
335,532,164101
335,532,164112
335,532,164123
335,532,164134
335,532,164145
335,532,164156
335,532,164167
335,532,164178
335,532,164188.00000000003
335,532,164199
335,532,164210
335,532,164221
335,532,164232
335,532,164242
335,532,164253
335,532,164264
335,532,164275
335,532,164286
335,532,164297
335,532,164308
335,532,164318
335,532,164329
335,532,164340
335,532,164351
335,532,164362
335,532,164373
335,532,164384
335,532,164395
335,532,164406
335,532,164417
335,532,164428
335,532,164439
335,532,164450.00000000003
335,532,164461
335,532,164471
335,532,164482
335,532,164493
335,532,164504
335,532,164515.00000000003
335,532,164526
335,532,164537
335,532,164548
335,532,164559
335,532,164570
335,532,164581.00000000003
335,532,164592
335,532,164603
335,532,164614
335,532,164625
335,532,164636
335,532,164647
335,532,164658.00000000003
335,532,164668
335,532,164679
335,532,164690
335,532,164701
335,532,164712.00000000003
335,532,164723
335,532,164734
335,532,164745
335,532,164757
335,532,164768
335,532,164779
335,532,164790
335,532,164801.00000000003
335,532,164812
335,532,164823
335,532,164834
335,532,164845
335,532,164856
335,532,164867
335,532,164878
335,532,164889
335,532,164900
335,532,164911
335,532,164922
335,532,164933
335,532,164944.00000000003
335,532,164955
335,532,164966
335,532,164976
335,532,164988
335,532,164999
335,532,165010
335,532,165021.00000000003
335,532,165032
335,532,165043
335,532,165054
335,532,165065
335,532,165076
335,532,165087.00000000003
335,532,165098
335,532,165109
335,532,165120
335,532,165131
335,532,165142
335,532,165153
335,532,165165
335,532,165176.00000000003
335,532,165187
335,532,165198
335,532,165209
335,532,165220
335,532,165230
335,532,165241
335,532,165253
335,532,165264
335,532,165275
335,532,165285
335,532,165296
335,532,165307.00000000003
335,532,165318
335,532,165329
335,532,165340
335,532,165351
335,532,165362
335,532,165372
335,532,165382
335,532,165393
335,532,165404
335,532,165415
335,532,165426.00000000003
335,532,165437
335,532,165448
335,532,165459
335,532,165470
335,532,165481
335,532,165492
335,532,165503
335,532,165514
335,532,165525
335,532,165537
335,532,165547
335,532,165558
335,532,165569.00000000003
335,532,165581.00000000003
335,532,165591
335,532,165602
335,532,165613
335,532,165624
335,532,165635
335,532,165646.00000000003
335,532,165657
335,532,165668
335,532,165679
335,532,165690
335,532,165701
335,532,165712.00000000003
335,532,165723
335,532,165734
335,532,165745
335,532,165756
335,532,165767
335,532,165778
335,532,165789.00000000003
335,532,165799
335,532,165810
335,532,165821
335,532,165832
335,532,165843
335,532,165854
335,532,165865
335,532,165876
335,532,165887
335,532,165898
335,532,165909
335,532,165920.00000000003
335,532,165931
335,532,165942
335,532,165953
335,532,165964
335,532,165975
335,532,165986
335,532,165997
335,532,166008
335,532,166018
335,532,166029
335,532,166040
335,532,166051.00000000003
335,532,166062
335,532,166073
335,532,166084
335,532,166095
335,532,166106
335,532,166117
335,532,166128
335,532,166139
335,532,166150
335,532,166161
335,532,166172
335,532,166183
335,532,166194.00000000003
335,532,166205
335,532,166216
335,532,166227
335,532,166238
335,532,166249
335,532,166260
335,532,166271.00000000003
335,532,166281
335,532,166291
335,532,166302
335,532,166313.00000000003
335,532,166324
335,532,166334
335,532,166345
335,532,166356
335,532,166367
335,532,166378
335,532,166389
335,532,166400
335,532,166411
335,532,166422
335,532,166433
335,532,166444.00000000003
335,532,166455
335,532,166466
335,532,166476
335,532,166488
335,532,166499
335,532,166510
335,532,166521.00000000003
335,532,166532
335,532,166543
335,532,166554
335,532,166565
335,532,166576
335,532,166587.00000000003
335,532,166598
335,532,166609
335,532,166620
335,532,166630
335,532,166640.00000000003
335,532,166651
335,532,166662
335,532,166672
335,532,166683
335,532,166694.00000000003
335,532,166704
335,532,166715
335,532,166726
335,532,166737
335,532,166748
335,532,166759
335,532,166770
335,532,166781
335,532,166792
335,532,166803
335,532,166814
335,532,166825.00000000003
335,532,166836
335,532,166846
335,532,166857
335,532,166868
335,532,166879
335,532,166890.00000000003
335,532,166901
335,532,166912
335,532,166923
335,532,166934
335,532,166945
335,532,166957
335,532,166968
335,532,166979
335,532,166990
335,532,167001
335,532,167011
335,532,167022
335,532,167033.00000000003
335,532,167045.00000000003
335,532,167056
335,532,167067
335,532,167078
335,532,167089
335,532,167100
335,532,167110
335,532,167121
335,532,167132
335,532,167143
335,532,167154
335,532,167165
335,532,167176.00000000003
335,532,167187
335,532,167198
335,532,167209
335,532,167220
335,532,167231
335,532,167242
335,532,167253
335,532,167264
335,532,167275
335,532,167286
335,532,167297
335,532,167308
335,532,167319.00000000003
335,532,167330
335,532,167341
335,532,167351
335,532,167363
335,532,167374
335,532,167385
335,532,167396.00000000003
335,532,167407
335,532,167417
335,532,167429
335,532,167440
335,532,167451
335,532,167462.00000000003
335,532,167472
335,532,167483
335,532,167494
335,532,167505
335,532,167516
335,532,167526
335,532,167538
335,532,167548
335,532,167559
335,532,167570
335,532,167581.00000000003
335,532,167592
335,532,167603
335,532,167614
335,532,167625
335,532,167636
335,532,167647
335,532,167658.00000000003
335,532,167668
335,532,167679
335,532,167689
335,532,167700.00000000003
335,532,167712.00000000003
335,532,167723
335,532,167734
335,532,167744
335,532,167755
335,532,167766
335,532,167777.00000000003
335,532,167788
335,532,167799
335,532,167809
335,532,167820
335,532,167831.00000000003
335,532,167842
335,532,167852
335,532,167863
335,532,167874
335,532,167885
335,532,167896.00000000003
335,532,167907
335,532,167917
335,532,167928
335,532,167939
335,532,167951
335,532,167962.00000000003
335,532,167972
335,532,167983
335,532,167994
335,532,168005
335,532,168016
335,532,168026
335,532,168038
335,532,168049
335,532,168060
335,532,168071
335,532,168082
335,532,168093
335,532,168104
335,532,168115
335,532,168126
335,532,168137
335,532,168148
335,532,168159
335,532,168170.00000000003
335,532,168181
335,532,168192
335,532,168203
335,532,168214
335,532,168225
335,532,168235
335,532,168246
335,532,168257
335,532,168268
335,532,168279
335,532,168290
335,532,168301.00000000003
335,532,168312
335,532,168323
335,532,168334
335,532,168345
335,532,168356
335,532,168367
335,532,168377
335,532,168388
335,532,168398
335,532,168409
335,532,168420.00000000003
335,532,168431
335,532,168443
335,532,168454
335,532,168465
335,532,168476
335,532,168487
335,532,168498
335,532,168509
335,532,168520
335,532,168531
335,532,168542
335,532,168553
335,532,168564
335,532,168575.00000000003
335,532,168585
335,532,168596
335,532,168607
335,532,168618
335,532,168629
335,532,168640.00000000003
335,532,168651
335,532,168661
335,532,168672
335,532,168683
335,532,168694.00000000003
335,532,168705
335,532,168715
335,532,168726
335,532,168737
335,532,168749
335,532,168760
335,532,168771.00000000003
335,532,168782
335,532,168793
335,532,168804
335,532,168815
335,532,168826
335,532,168837.00000000003
335,532,168848
335,532,168859
335,532,168870
335,532,168881
335,532,168892
335,532,168903
335,532,168914.00000000003
335,532,168924
335,532,168935
335,532,168946
335,532,168957
335,532,168968
335,532,168979
335,532,168990
335,532,169001
335,532,169012
335,532,169023
335,532,169034
335,532,169045.00000000003
335,532,169056
335,532,169067
335,532,169078
335,532,169089
335,531,169099
335,530,169110
335,528,169121
335,525,169131
335,525,169142
337,521,169153
337,521,169163
338,517,169174
340,513,169184
340,513,169195
341,509,169206.00000000003
343,504,169216
343,504,169226
345,501,169237
347,498,169247
347,498,169258
348,495,169269
348,495,169280
349,493,169291
350,491,169301.00000000003
350,491,169313.00000000003
351,489,169324
352,487,169334
352,487,169345
354,485,169356
355,483,169367
355,483,169378
356,480,169388
358,478,169398
358,478,169409
359,475,169420.00000000003
359,475,169430
362,471,169440
364,468,169451
364,468,169462.00000000003
367,464,169472
369,461,169482
369,461,169493
370,459,169504
372,458,169514
372,458,169525
373,457,169536
373,456,169546
373,456,169557.00000000003
373,456,169567
373,456,169578
373,456,169589
373,456,169599
373,456,169610
373,456,169621
373,456,169631
373,456,169642
373,456,169653
373,456,169664.00000000003
373,456,169675
373,456,169686
373,456,169697
373,456,169708
373,456,169718.00000000003
373,456,169728
373,456,169739
373,456,169750
373,456,169761
373,456,169772
373,456,169783.00000000003
373,456,169794
373,456,169804
373,456,169815
373,456,169826
373,456,169837.00000000003
373,456,169848
373,456,169859
373,456,169870
373,456,169881
373,456,169891
373,456,169902.00000000003
373,456,169913
373,456,169924
373,456,169935
373,456,169946
373,456,169956.00000000003
373,456,169967
373,456,169978
373,456,169990
373,456,170000
373,456,170012
373,456,170023
373,456,170034
373,456,170045.00000000003
373,456,170056
373,456,170067
373,456,170078
373,456,170089
373,456,170100
373,456,170111
373,456,170122
373,456,170133
373,456,170144
373,456,170155
373,456,170166
373,456,170176.00000000003
373,456,170188.00000000003
373,456,170199
373,456,170210
373,456,170221
373,456,170232
373,456,170243
373,456,170254
373,456,170265.00000000003
373,456,170276
373,456,170287
373,456,170298
373,456,170309
373,456,170320
373,456,170331.00000000003
373,456,170341
373,456,170352
373,456,170363
373,456,170374
373,456,170384
373,456,170395
373,456,170406
373,456,170417
373,456,170428
373,456,170439
373,456,170450.00000000003
373,456,170461
373,456,170472
373,456,170483
373,456,170494
373,456,170505
373,456,170516
373,456,170526
373,456,170538
373,456,170549
373,456,170560
373,456,170571
373,456,170582
373,456,170593.00000000003
373,456,170604
373,456,170615
373,456,170626
373,456,170637
373,456,170648
373,456,170659
373,456,170670.00000000003
373,456,170681
373,456,170692
373,456,170703
373,456,170714
373,456,170725
373,456,170736
373,456,170747
373,456,170758
373,456,170769
373,456,170780
373,456,170791
373,456,170801.00000000003
373,456,170813.00000000003
373,456,170824
373,456,170834
373,456,170845
373,456,170855
373,456,170866
373,456,170878
373,456,170889
373,456,170899
373,456,170910
373,456,170921
373,456,170932.00000000003
373,456,170943
373,456,170954
373,456,170965
373,456,170976
373,456,170987
373,456,170998
373,456,171009
373,456,171020
373,456,171031
373,456,171042
373,456,171053
373,456,171064
373,456,171075.00000000003
373,456,171085
373,456,171096
373,456,171107
373,456,171118
373,456,171129
373,456,171140.00000000003
373,456,171151
373,456,171162
373,456,171173
373,456,171184
373,456,171195
373,456,171206.00000000003
373,456,171217
373,456,171228
373,456,171239
373,456,171250
373,456,171261
373,456,171271.00000000003
373,456,171282
373,456,171293
373,456,171304
373,456,171315
373,456,171326
373,456,171337.00000000003
373,456,171348
373,456,171359
373,456,171370
373,456,171381
373,456,171392
373,456,171404
373,456,171415
373,456,171426.00000000003
373,456,171437
373,456,171448
373,456,171459
373,456,171470
373,456,171481
373,456,171492
373,456,171503
373,456,171514
373,456,171525
373,456,171536
373,456,171547
373,456,171558
373,456,171569.00000000003
373,456,171580
373,456,171591
373,456,171601
373,456,171613
373,456,171624
373,456,171635
373,456,171646.00000000003
373,456,171657
373,456,171668
373,456,171679
373,456,171690
373,456,171701
373,456,171712.00000000003
373,456,171723
373,456,171734
373,456,171745
373,456,171756
373,456,171767
373,456,171778
373,456,171789.00000000003
373,456,171800
373,456,171811
373,456,171822
373,456,171833
373,456,171844
373,456,171855
373,456,171866
373,456,171876
373,456,171888
373,456,171899
373,456,171910
373,456,171921
373,456,171932.00000000003
373,456,171943
373,456,171954
373,456,171964
373,456,171975
373,456,171986
373,456,171997
373,456,172008
373,456,172019
373,456,172029
373,456,172040
373,456,172051.00000000003
373,456,172063.00000000003
373,456,172074
373,456,172085
373,456,172096
373,456,172107
373,456,172118
373,456,172129
373,456,172140.00000000003
373,456,172151
373,456,172162
373,456,172173
373,456,172184
373,456,172195
373,456,172206.00000000003
373,456,172217
373,456,172228
373,456,172239
373,456,172250
373,456,172260
373,456,172271.00000000003
373,456,172282
373,456,172293
373,456,172304
373,456,172315
373,456,172326
373,456,172337.00000000003
373,456,172348
373,456,172359
373,456,172370
373,456,172381
373,456,172391
373,456,172401
373,456,172413
373,456,172424
373,456,172435
373,456,172446
373,456,172457
373,456,172468.00000000003
373,456,172479
373,456,172490
373,456,172501
373,456,172512
373,456,172523
373,456,172534
373,456,172545.00000000003
373,456,172556
373,456,172566
373,456,172576
373,456,172588
373,456,172598
373,456,172609
373,456,172620
373,456,172631
373,456,172642
373,456,172653
373,456,172664.00000000003
373,456,172675
373,456,172686
373,456,172697
373,456,172708
373,456,172718.00000000003
373,456,172729
373,456,172740
373,456,172751
373,456,172762
373,456,172773
373,456,172784
373,456,172796
373,456,172807.00000000003
373,456,172818
373,456,172829
373,456,172840
373,456,172851
373,456,172862
373,456,172872
373,456,172882
373,456,172893
373,456,172904
373,456,172915
373,456,172926.00000000003
373,456,172937
373,456,172948
373,456,172959
373,456,172970
373,456,172981
373,456,172992
373,456,173003
373,456,173014
373,456,173025
373,456,173036
373,456,173047
373,456,173058
373,456,173068
373,456,173079
373,456,173090
373,456,173101
373,456,173112
373,456,173123
373,456,173134
373,456,173144
373,456,173155
373,456,173166
373,456,173176.00000000003
373,456,173188.00000000003
373,456,173199
373,456,173210
373,456,173221
373,456,173232
373,456,173243
373,456,173254
373,456,173265.00000000003
373,456,173276
373,456,173287
373,456,173298
373,456,173309
373,456,173320
373,456,173331.00000000003
373,456,173342
373,456,173353
373,456,173365
373,456,173376
373,456,173387
373,456,173397
373,456,173408.00000000003
373,456,173418
373,456,173429
373,456,173440
373,456,173451
373,456,173462.00000000003
373,456,173473
373,456,173484
373,456,173495
373,456,173506
373,456,173517
373,456,173528
373,456,173539.00000000003
373,456,173551.00000000003
373,456,173562
373,456,173572
373,456,173583
373,456,173594
373,456,173605
373,456,173616
373,456,173627
373,456,173638
373,456,173649
373,456,173660
373,456,173671
373,456,173682.00000000003
373,456,173693
373,456,173704
373,456,173715
373,456,173726
373,456,173737
373,456,173748
373,456,173759
373,456,173770
373,456,173781
373,456,173792
373,456,173804
373,456,173814
373,456,173825.00000000003
373,456,173836
373,456,173847
373,456,173858
373,456,173869
373,456,173880
373,456,173891
373,456,173903
373,456,173914.00000000003
373,456,173925
373,456,173935
373,456,173946
373,456,173957
373,456,173968.00000000003
373,456,173979
373,456,173990
373,456,174001
373,456,174012
373,456,174023
373,456,174034
373,456,174045.00000000003
373,456,174056
373,456,174067
373,456,174078
373,456,174089
373,456,174100
373,456,174111
373,456,174122
373,456,174133
373,456,174143
373,456,174154
373,456,174165
373,456,174176.00000000003
373,456,174187
373,456,174199
373,456,174210
373,456,174221
373,456,174232
373,456,174243
373,456,174254
373,456,174265.00000000003
373,456,174275
373,456,174286
373,456,174297
373,456,174308
373,456,174319.00000000003
373,456,174330
373,456,174341
373,456,174351
373,456,174363
373,456,174374
373,456,174385
373,456,174395
373,456,174406
373,456,174417
373,456,174428
373,456,174440
373,456,174451
373,456,174461
373,456,174472
373,456,174483
373,456,174494
373,456,174505
373,456,174516
373,456,174526
373,456,174538
373,456,174549
373,456,174560
373,456,174571
373,456,174582
373,456,174593.00000000003
373,456,174604
373,456,174615
373,456,174626
373,456,174637
373,456,174648
373,456,174659
373,456,174670.00000000003
373,456,174681
373,456,174692
373,456,174703
373,456,174714
373,456,174725
373,456,174736
373,456,174747
373,456,174758
373,456,174768
373,456,174779
373,456,174790
373,456,174801.00000000003
373,456,174812
373,456,174824
373,456,174834
373,456,174845
373,456,174856
373,456,174867
373,456,174878
373,456,174889
373,456,174900
373,456,174911
373,456,174923
373,456,174934
373,456,174945
373,456,174956.00000000003
373,456,174967
373,456,174978
373,456,174989
373,456,175000
373,456,175011
373,456,175022
373,456,175033.00000000003
373,456,175043
373,456,175053
373,456,175065
373,456,175076
373,456,175087.00000000003
373,456,175098
373,456,175109
373,456,175120
373,456,175130
373,456,175141
373,456,175152.00000000003
373,456,175163
373,456,175174
373,456,175185
373,456,175196
373,456,175207
373,456,175218.00000000003
373,456,175229
373,456,175240
373,456,175251
373,456,175262
373,456,175272
373,456,175283.00000000003
373,456,175294
373,456,175305
373,456,175316
373,456,175326
373,456,175338
373,456,175348
373,456,175359
373,456,175370
373,456,175381
373,456,175391
373,456,175401
373,456,175412
373,456,175423
373,456,175434
373,456,175445
373,456,175456.00000000003
373,456,175468.00000000003
373,456,175479
373,456,175490
373,456,175501
373,456,175512
373,456,175523
373,456,175533.00000000003
373,456,175543
373,456,175554
373,456,175565
373,456,175576
373,456,175587.00000000003
373,456,175598
373,456,175609
373,456,175620
373,456,175631
373,456,175641
373,456,175651
373,456,175663
373,456,175674
373,456,175685
373,456,175696
373,456,175706.00000000003
373,456,175717
373,456,175728
373,456,175739
373,456,175750
373,456,175761
373,456,175772
373,456,175783.00000000003
373,456,175794
373,456,175805
373,456,175816
373,456,175826
373,456,175837.00000000003
373,456,175849
373,456,175860
373,456,175871
373,456,175882
373,456,175893
373,456,175904
373,456,175914.00000000003
373,456,175925
373,456,175936
373,456,175948
373,456,175958
373,456,175969
373,456,175980
373,456,175991
373,456,176001
373,456,176013
373,456,176024
373,456,176035
373,456,176046
373,456,176057.00000000003
373,456,176068
373,456,176079
373,456,176089
373,456,176100
373,456,176111
373,456,176122
373,456,176133
373,456,176144
373,456,176154
373,456,176165
373,456,176176.00000000003
373,456,176187
373,456,176198
373,456,176209
373,456,176220
373,456,176231
373,456,176242
373,456,176252
373,456,176263
373,456,176275
373,456,176285
373,456,176296
373,456,176307.00000000003
373,456,176317
373,456,176328
373,456,176339
373,456,176350
373,456,176362
373,456,176372
373,456,176383
373,456,176394
373,456,176405
373,456,176415
373,456,176426.00000000003
373,456,176437
373,456,176448
373,456,176459
373,456,176470
373,456,176481
373,456,176492
373,456,176503
373,456,176514
373,456,176525
373,456,176536
373,456,176547
373,456,176558
373,456,176568
373,456,176579
373,456,176590
373,456,176601
373,456,176611
373,456,176622
373,456,176633
373,456,176643
373,456,176654
373,456,176665
373,456,176676.00000000003
373,456,176687
373,456,176698
373,456,176709
373,456,176720
373,456,176731
373,456,176742
373,456,176753
373,456,176765.00000000003
373,456,176776
373,456,176786
373,456,176797
373,456,176808
373,456,176819.00000000003
373,456,176830
373,456,176841
373,456,176851
373,456,176863
373,456,176874
373,456,176885
373,456,176896.00000000003
373,456,176907
373,456,176918
373,456,176929
373,456,176940
373,456,176951
373,456,176961
373,456,176972
373,456,176983
373,456,176994
373,456,177005
373,456,177016
373,456,177026
373,456,177037
373,456,177048
373,456,177059
373,456,177070
373,456,177081.00000000003
373,456,177091
373,456,177101
373,456,177112
373,456,177124
373,456,177135
373,456,177146.00000000003
373,456,177156
373,456,177167
373,456,177178
373,456,177189
373,456,177200.00000000003
373,456,177211
373,456,177222
373,456,177233
373,456,177244
373,456,177255
373,456,177266
373,456,177276
373,456,177287
373,456,177298
373,456,177308
373,456,177318
373,456,177329
373,456,177340
373,456,177351
373,456,177362
373,456,177373
373,456,177384
373,456,177395
373,456,177406
373,456,177416
373,456,177426.00000000003
373,456,177437
373,456,177449
373,456,177460
373,456,177471
373,456,177482
373,456,177493
373,456,177504
373,456,177515.00000000003
373,456,177526
373,456,177537
373,456,177548
373,456,177559
373,456,177570
373,456,177581.00000000003
373,456,177592
373,456,177603
373,456,177614
373,456,177625
373,456,177636
373,456,177646.00000000003
373,456,177657
373,456,177668
373,456,177679
373,456,177690
373,456,177701
373,456,177712.00000000003
373,456,177723
373,456,177734
373,456,177745
373,456,177756
373,456,177767
373,456,177778
373,456,177789.00000000003
373,456,177800
373,456,177810
373,456,177821
373,456,177832
373,456,177843.00000000003
373,456,177854
373,456,177865
373,456,177876
373,456,177887
373,456,177898
373,456,177909
373,456,177920.00000000003
373,456,177931
373,456,177942
373,456,177953
373,456,177964
373,456,177975
373,456,177986
373,456,177997
373,456,178007
373,456,178018
373,456,178029
373,456,178040
373,456,178051.00000000003
373,456,178062
373,456,178073
373,456,178084
373,456,178095
373,456,178106
373,456,178117
373,456,178128
373,456,178139
373,456,178150
373,456,178161
373,456,178172
373,456,178183
373,456,178194.00000000003
373,456,178205
373,456,178216
373,456,178226
373,456,178238
373,456,178249
373,456,178260
373,456,178271.00000000003
373,456,178282
373,456,178293
